codigo,produto_arquivo,link_original_preservado,status_auditoria,alertas,descricao_extraida_do_arquivo
011,Samsung Galaxy A16,https://meli.la/2oifgjy,ok_para_enriquecer,,"Samsung Galaxy A16 Lte 128gb Cinza Cinza 4.8Avaliação 4.8 de 5. 1468 opiniões.(1468) Parte superior do formulário Adicionar aos favoritos Parte inferior do formulário R$1.171 10x R$117,10 sem juros Ver os meios de pagamento Cor:Cinza O que você precisa saber sobre este produto Memória RAM: 4 GB. 128GB de memória interna."
012,Samsung Galaxy A16 5G,https://meli.la/2f5pDk6,verificar,link_duplicado_em_outros_produtos,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
013,Samsung Galaxy A05s,https://meli.la/2GtVe2L,ok_para_enriquecer,,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
014,Samsung Galaxy A05,https://meli.la/2D1bVFF,ok_para_enriquecer,,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Samsung Galaxy A05 Dual SIM 128 GB Preto 4 GB RAM 4.7Avaliação 4.7 de 5. 16017 opiniões.(16017) Parte superior do formulário Adicionar aos favoritos Parte inferior do formulário R$950"
015,Samsung Galaxy A03,https://meli.la/1wsTVyx,corrigir_antes_de_publicar,possivel_titulo_descricao_incompatíveis,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Samsung Galaxy A06 5g Dual Sim 128gb preto 4.8Avaliação 4.8 de 5. 10221 opiniões.(10221) Parte superior do formulário Adicionar aos favoritos Parte inferior do formulário OFERTA IMPERDÍVEL R$653,11"
016,Samsung Galaxy S21 FE 5G,https://meli.la/1beqAff,ok_para_enriquecer,,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Samsung Galaxy S21 FE 5G (Exynos) 5G Dual SIM 256 GB preto 6 GB RAM 4.7Avaliação 4.7 de 5. 16782 opiniões.(16782) Parte superior do formulário Adicionar aos favoritos Parte inferior do formulário R$3.090"
017,Samsung Galaxy S23 FE,https://meli.la/1KJA6kB,corrigir_antes_de_publicar,possivel_titulo_descricao_incompatíveis,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Celular Samsung Galaxy S25 Fe 5g, 256gb, 8gb Ram, Câmera Tripla De 50+12+8, Tela Grande De 6.7 Jetblack RECOMENDADO Recomendamos este produto para você porque tem um bom preço e opiniões positivas. 4.9Avaliação 4.9 de 5. 2618 opiniões.(2618) Parte superior do formulário Adicionar aos favoritos Parte inferior do formulário R$5.799 R$3.524,40"
018,Samsung Galaxy S24 FE,https://meli.la/14A5mNi,corrigir_antes_de_publicar,possivel_titulo_descricao_incompatíveis,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Celular Samsung Galaxy S25 Ultra 5g, 256gb, 12gb, Câm. Quád. Titanium Black RECOMENDADO Recomendamos este produto para você porque tem um bom preço e opiniões positivas. 4.9 Avaliação 4.9 de 5. 17651 opiniões. (17651) R$5.499"
021,Samsung Galaxy S25+,https://meli.la/29aDs96,corrigir_antes_de_publicar,possivel_titulo_descricao_incompatíveis,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Samsung Galaxy S25 Ultra 5g Dual Sim 1 Tb Cinza Titânio 12 Gb Ram MAIS VENDIDO 19º em Celulares e Smartphones 4.9 Avaliação 4.9 de 5. 17651 opiniões. (17651) Adicionar aos favoritos R$ 9.750"
022,Samsung Galaxy S25 Ultra,https://meli.la/28rQ3hS,ok_para_enriquecer,,"Descrição: Modelo Samsung com ampla procura no varejo, boa integração com Android/One UI e rede de assistência mais conhecida no Brasil. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Celular Samsung Galaxy S25 Ultra 5G, 512GB, 12GB RAM, Câmera Quádrupla de 200+50+10+50, Tela Grande de 6.9"" Titânio Prata RECOMENDADO Recomendamos este produto para você porque tem um bom preço e opiniões positivas. 4.9 Avaliação 4.9 de 5. 17651 opiniões. (17651) Adicionar aos favoritos R$6.497"
023,Motorola Moto G35 5G,https://meli.la/1xcogaX,ok_para_enriquecer,,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto G35 5g - 128gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai Nfc Tela 6.7 Com Superbrilho - Grafite - Vegan Leather MAIS VENDIDO 3º em Celulares e Smartphones Motorola 4.8 Avaliação 4.8 de 5. 81820 opiniões. (81820) Adicionar aos favoritos R$ 869"
024,Motorola Moto G15 256 GB,https://meli.la/1VsKupR,ok_para_enriquecer,,"Smartphone Motorola Moto G15 - 256gb 12gb (4gb Ram+8gb Ram Boost) E Camera 50mp Com Ai E Night Vision Bateria De 5200 Mah Tela Fhd+ 6.7 Com Superbrilho Nfc - Grafite MAIS VENDIDO 4º em Celulares e Smartphones 4.8 Avaliação 4.8 de 5. 126311 opiniões. (126311) R$ 888 ,"
025,Motorola Moto G06,https://meli.la/1eYf7iS,ok_para_enriquecer,,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto G06 - 256gb 12gb (4gb Ram + 8gb Ram Boost) E Camera 50mp Com Ai Bateria De 5200 Mah Tela 6.9 - Verde MAIS VENDIDO 4º em Celulares e Telefones 4.9 Avaliação 4.9 de 5. 39968 opiniões. (39968) R$ 800"
026,Motorola Moto G05,https://meli.la/1LyR9KK,verificar,link_duplicado_em_outros_produtos,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto g05 - 128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Violeta 4.9 Avaliação 4.9 de 5. 103490 opiniões. (103490) R$ 744,99"
027,Motorola Moto G05 SE,https://meli.la/1LyR9KK,verificar,link_duplicado_em_outros_produtos,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto g05 - 128GB 12GB (4GB RAM + 8GB Ram Boost) e Camera 50MP com AI Bateria de 5200 mAh Tela 6.7"" com Superbrilho - Violeta"
028,Motorola Moto G34 5G,https://meli.la/1cP69XE,ok_para_enriquecer,,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto g34 5G - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP NFC - Preto 4.8 Avaliação 4.8 de 5. 47246 opiniões. (47246) Adicionar aos favoritos R$1.145"
029,Motorola Moto G54 5G,https://meli.la/2vVuu3c,ok_para_enriquecer,,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Motorola Moto G54 5G 128GB Grafite 4GB RAM (Novo com caixa aberta)"
030,Motorola Moto G24,https://meli.la/229bbr7,ok_para_enriquecer,,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Smartphone Motorola Moto g24 - 128GB 8GB (4GB RAM+4GB Ram Boost) AI Camera 50MP Night Vision - Rosa 4.8 Avaliação 4.8 de 5. 114969 opiniões. (114969) Adicionar aos favoritos R$ 1.349"
031,Motorola Moto G24 Power,https://www.google.com/search?btnI=1&q=site%3Amercadolivre.com.br%2Fp%2FMLB+%22Motorola+Moto+G24+Power%22+Mercado+Livre,corrigir_antes_de_publicar,link_google_generico; possivel_titulo_descricao_incompatíveis,"Descrição: Smartphone Motorola Edge 60 Neo 5G - 256GB 24GB (12GB RAM + 12GB Ram Boost) 50MP Sony Camera Moto AI e tela 1.5K Super HD - CinzaModelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. Conferência: ver resultados individuais no Google | ver variações no Mercado Livre"
032,Motorola Moto G04s,https://www.mercadolivre.com.br/loja/motorola#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,Descrição https://www.mercadolivre.com.br/loja/motorola#from=share_eshop
033,Motorola Moto G84 5G,https://www.mercadolivre.com.br/loja/motorola#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,https://www.mercadolivre.com.br/loja/motorola#from=share_eshop
034,Motorola Moto G85 5G,https://meli.la/34bojpa,corrigir_antes_de_publicar,possivel_titulo_descricao_incompatíveis,"Descrição: Smartphone Moto G86 5g 512gb Verde-escuro Motorola MAIS VENDIDO 5º em Celulares e Smartphones Motorola 4.9 Avaliação 4.9 de 5. 20415 opiniões. (20415) Adicionar aos favoritos R$ 1.800 Ver os meios de pagamento Cor:Verde-escuro Azul Azul-aço Ver opções disponíveis Azul-marinho Ver opções disponíveis Cosmic Sky (lilás) Ver opções disponíveis Grafite Ver opções disponíveis Verde Verde-escuro Vermelho Memória interna:512 GB 256 GB Ver opções disponíveis 512 GB O que você precisa sab Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. A versão pesquisada possui indicação 5G; confirme bandas, Anatel e compatibilidade com sua operadora. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
035,Motorola Edge 40 Neo,https://meli.la/2WswndQ,ok_para_enriquecer,,"Descrição: Motorola Edge 40 Neo 5G Dual SIM 256 GB Black beauty 8 GB RAM Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
039,Motorola Edge 50 Ultra,https://www.mercadolivre.com.br/loja/motorola#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: Modelo Motorola procurado por uso simples, Android mais limpo, bateria consistente e boa relação custo-benefício. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
071,Apple iPhone 11,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
072,Apple iPhone XR,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
073,Apple iPhone XS,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
074,Apple iPhone 12,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
075,Apple iPhone 12 Pro,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
076,Apple iPhone 13,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
077,Apple iPhone 13 Pro,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
078,Apple iPhone 14,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
079,Apple iPhone 14 Plus,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
080,Apple iPhone 14 Pro,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
081,Apple iPhone 15,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
082,Apple iPhone 15 Plus,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
083,Apple iPhone 15 Pro,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
084,Apple iPhone 15 Pro Max,https://meli.la/2AXDsdz,ok_para_enriquecer,,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
085,Apple iPhone 16,https://meli.la/1kM68jS,ok_para_enriquecer,,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
086,Apple iPhone 16e,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
087,Apple iPhone 16 Plus,https://www.mercadolivre.com.br/loja/apple#from=share_eshop,corrigir_antes_de_publicar,link_generico_loja_ou_lista; link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia. https://www.mercadolivre.com.br/loja/apple#from=share_eshop"
088,Apple iPhone 16 Pro,https://meli.la/2ehPQMY,verificar,link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
089,Apple iPhone 16 Pro Max,https://meli.la/2ehPQMY,verificar,link_duplicado_em_outros_produtos,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
090,Apple iPhone 17 Pro,https://meli.la/1sYGket,ok_para_enriquecer,,"Descrição: iPhone com iOS, boa revenda e integração ao ecossistema Apple; confira estado, garantia e procedência antes da compra. Antes de comprar, confira se é novo, usado ou recondicionado, a reputação do vendedor, prazo de entrega, devolução, nota fiscal e garantia."
